"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"B+";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";
"C1";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C2";"1n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C3";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C4";"100p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C5";"330p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C6";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C7";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C8";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C9";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C10";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C11";"22u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C12";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C14";"220p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C15";"220p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C16";"4u7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"C17";"22u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"D1";"1N4148WS";"1N4148WS";"SODFL2512X100N";"1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F Check availability";"In Stock";" Diode Standard 75V 300mA (DC) Surface Mount SOD-323 ";"";"";"";"ON Semiconductor";"";"";"1N4148WS";"SOD-323FL-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/1N4148WS/?ref=eda";"";
"D2";"1N4148WS";"1N4148WS";"SODFL2512X100N";"1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F Check availability";"In Stock";" Diode Standard 75V 300mA (DC) Surface Mount SOD-323 ";"";"";"";"ON Semiconductor";"";"";"1N4148WS";"SOD-323FL-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/1N4148WS/?ref=eda";"";
"D3";"1N4148WS";"1N4148WS";"SODFL2512X100N";"1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F Check availability";"In Stock";" Diode Standard 75V 300mA (DC) Surface Mount SOD-323 ";"";"";"";"ON Semiconductor";"";"";"1N4148WS";"SOD-323FL-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/1N4148WS/?ref=eda";"";
"D4";"B5817WS-TP";"B5817WS-TP";"SOD2512X115N";"Schottky Diodes & Rectifiers 20V,1A";"";"Schottky Diodes & Rectifiers 20V,1A";"1.15mm";"Micro Commercial Components (MCC)";"B5817WS-TP";"";"833-B5817WS-TP";"https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/B5817WS-TP?qs=SdqRYZZ9IxCAZAlW9BKhPg%3D%3D";"";"";"";"";"";"";
"DR+";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";
"DR-";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";
"EN";"";"SPDT.WIRE";"SPDT.WIRE";"SPDT Switches";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EN_AUX";"";"SPDT.WIRE";"SPDT.WIRE";"SPDT Switches";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FB1";"74279266";"74279266";"BEADC1608X100N";"WE-CBF Ferrite Bead 0603 1000Ohm 200mA Wurth WE-CBF Series +/-25% Ferrite Multilayer SMD Inductor, 0603 Case, 200mA dc 600m Rdc";"";"WE-CBF Ferrite Bead 0603 1000Ohm 200mA Wurth WE-CBF Series +/-25% Ferrite Multilayer SMD Inductor, 0603 Case, 200mA dc 600m Rdc";"1mm";"Wurth Elektronik";"74279266";"";"710-74279266";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/74279266?qs=wElim4iM2phvO%252B60rsJRMg%3D%3D";"";"";"";"";"";"";
"FB2";"74279266";"74279266";"BEADC1608X100N";"WE-CBF Ferrite Bead 0603 1000Ohm 200mA Wurth WE-CBF Series +/-25% Ferrite Multilayer SMD Inductor, 0603 Case, 200mA dc 600m Rdc";"";"WE-CBF Ferrite Bead 0603 1000Ohm 200mA Wurth WE-CBF Series +/-25% Ferrite Multilayer SMD Inductor, 0603 Case, 200mA dc 600m Rdc";"1mm";"Wurth Elektronik";"74279266";"";"710-74279266";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/74279266?qs=wElim4iM2phvO%252B60rsJRMg%3D%3D";"";"";"";"";"";"";
"GAIN";"100k";"TRIMMER";"TRIM1";"Trimpots";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"G_GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";
"H_GAIN";"100k";"TRIMMER";"TRIM1";"Trimpots";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"TL064D";"TL064D";"SO14";"OP AMP";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";
"IC2";"PAM8302AADCR";"PAM8302AADCR";"SOIC127P600X170-8N";"Audio Amplifiers 2.5W MONO FILTERLESS CLASS-D AUDIO AMP";"";"Audio Amplifiers 2.5W MONO FILTERLESS CLASS-D AUDIO AMP";"1.7mm";"Diodes Inc.";"PAM8302AADCR";"";"621-PAM8302AADCR";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/PAM8302AADCR?qs=pYVYkI7xuRUGP4ZWq1B6zQ%3D%3D";"";"";"";"";"";"";
"IC3";"MCP16301T-E_CH";"MCP16301T-E_CH";"SOT95P270X145-6N";"Switching Controllers MCP16301 B/O Module";"";"Switching Controllers MCP16301 B/O Module";"1.45mm";"Microchip";"MCP16301T-E/CH";"";"579-MCP16301T-E/CH";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP16301T-E-CH?qs=OCR3PNzn1cd7c45gMyyUJw%3D%3D";"";"";"";"";"";"";
"IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";
"J1_1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";
"J1_2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";
"JACK";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";
"L1";"22uH";"L-USL2012C";"L2012C";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"L";
"MODE_A";"";"SPDT.WIRE";"SPDT.WIRE";"SPDT Switches";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MODE_B";"";"SPDT.WIRE";"SPDT.WIRE";"SPDT Switches";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"MMBT3906LT1SMD";"MMBT3906LT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";
"Q2";"MMBF5457";"MMBF5457";"SOT96P237X111-3N";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"1.11mm";"onsemi";"MMBF5457";"";"512-MMBF5457";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MMBF5457?qs=ljbEvF4DwONFsVNWUpfPPg%3D%3D";"";"";"";"";"";"";
"R1";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R2";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R3";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R4";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R5";"33k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R6";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R7";"33k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R8";"33k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R9";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R10";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R11";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R12";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R13";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R14";"47R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R16";"22k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R17";"120k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"T1";"MMBT3904";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";
